"","LocID","Location","VarID","Variant","Time","MidPeriod","PopMale","PopFemale","PopTotal","PopDensity"
"85695",231,"Ethiopia",2,"Medium",2019,2019.5,56069.008,56009.719,112078.727,112.079
"86579",1546,"Eurasian Economic Community (Eurasec)",2,"Medium",2019,2019.5,105324.578,117270.108,222594.686,11.109
"86799",917,"Europe",2,"Medium",2019,2019.5,360711.588,386471.227,747182.815,33.756
"86800",908,"Europe",2,"Medium",2019,2019.5,360711.588,386471.227,747182.815,33.756
"88498",1506,"Europe (48)",2,"Medium",2019,2019.5,360711.588,386471.227,747182.815,33.756
"88649",1829,"Europe and Northern America",2,"Medium",2019,2019.5,542163.891,571619.868,1113783.759,27.308
"89533",1550,"European Community (EC: 12)",2,"Medium",2019,2019.5,188353.435,195716.561,384069.996,164.88
"89684",1544,"European Free Trade Agreement (EFTA)",2,"Medium",2019,2019.5,7166.517,7180.76,14347.277,28.4
"89835",1549,"European Union (EU: 15)",2,"Medium",2019,2019.5,200515.622,208078.032,408593.654,130.707
"89986",986,"European Union (EU: 28)",2,"Medium",2019,2019.5,250845.723,261671.206,512516.929,120.883
"90137",238,"Falkland Islands (Malvinas)",2,"Medium",2019,2019.5,NA,NA,3.372,0.277
"91021",234,"Faroe Islands",2,"Medium",2019,2019.5,NA,NA,48.677,34.869
"91905",242,"Fiji",2,"Medium",2019,2019.5,450.959,438.996,889.955,48.711
"92789",246,"Finland",2,"Medium",2019,2019.5,2727.21,2804.949,5532.159,18.204
"93673",250,"France",2,"Medium",2019,2019.5,31524.494,33605.237,65129.731,118.946
"94557",1107,"France (and dependencies)",2,"Medium",2019,2019.5,32902.008,35076.39,67978.398,103.357
"94708",254,"French Guiana",2,"Medium",2019,2019.5,143.766,147.057,290.823,3.538
"95592",258,"French Polynesia",2,"Medium",2019,2019.5,141.492,137.793,279.285,76.307
"96476",266,"Gabon",2,"Medium",2019,2019.5,1106.192,1066.386,2172.578,8.432
"97360",270,"Gambia",2,"Medium",2019,2019.5,1164.364,1183.332,2347.696,231.986
"98244",268,"Georgia",2,"Medium",2019,2019.5,1905.743,2091.019,3996.762,57.516
"99128",276,"Germany",2,"Medium",2019,2019.5,41249.115,42267.931,83517.046,239.606
"100012",288,"Ghana",2,"Medium",2019,2019.5,15416.086,15001.772,30417.858,133.681
"100896",292,"Gibraltar",2,"Medium",2019,2019.5,NA,NA,33.706,3370.6
"101780",1536,"Greater Arab Free Trade Area (GAFTA)",2,"Medium",2019,2019.5,210987.501,195385.836,406373.337,35.875
"101931",300,"Greece",2,"Medium",2019,2019.5,5140.52,5332.932,10473.452,81.253
"102815",304,"Greenland",2,"Medium",2019,2019.5,NA,NA,56.66,0.138
"103699",308,"Grenada",2,"Medium",2019,2019.5,56.426,55.576,112.002,329.418
"104583",1556,"Group of 77 (G77)",2,"Medium",2019,2019.5,3081556.65,2978538.312,6060094.962,81.595
"104734",1523,"Group of Eight (G8)",2,"Medium",2019,2019.5,446529.166,469406.378,915935.544,25.153
"104885",1522,"Group of Seven (G7)",2,"Medium",2019,2019.5,378926.226,391137.058,770063.284,38.431
"105036",1524,"Group of Twenty (G20) - member states",2,"Medium",2019,2019.5,2344548.037,2278305.169,4622853.206,61.199
"105187",312,"Guadeloupe",2,"Medium",2019,2019.5,184.686,215.362,400.048,245.73
"106071",316,"Guam",2,"Medium",2019,2019.5,84.437,82.858,167.295,309.806
"106955",320,"Guatemala",2,"Medium",2019,2019.5,8659.95,8921.526,17581.476,164.068
"107839",324,"Guinea",2,"Medium",2019,2019.5,6166.075,6605.171,12771.246,51.975
"108723",624,"Guinea-Bissau",2,"Medium",2019,2019.5,938.863,982.054,1920.917,68.311
"109607",1561,"Gulf Cooperation Council (GCC)",2,"Medium",2019,2019.5,35586.159,22108.2,57694.359,22.423
"109758",328,"Guyana",2,"Medium",2019,2019.5,393.271,389.504,782.775,3.977
"110642",332,"Haiti",2,"Medium",2019,2019.5,5557.596,5705.483,11263.079,408.675
"111526",1503,"High-income countries",2,"Medium",2019,2019.5,626227.58,631815.904,1258043.484,33.206
"112410",336,"Holy See",2,"Medium",2019,2019.5,NA,NA,0.815,1852.273
"113294",340,"Honduras",2,"Medium",2019,2019.5,4868.994,4877.121,9746.115,87.104
"114178",348,"Hungary",2,"Medium",2019,2019.5,4608.25,5076.43,9684.68,106.978
"115062",352,"Iceland",2,"Medium",2019,2019.5,170.23,168.807,339.037,3.382
"115946",356,"India",2,"Medium",2019,2019.5,710129.572,656288.184,1366417.756,459.58
"116830",360,"Indonesia",2,"Medium",2019,2019.5,136269.761,134355.806,270625.567,149.387
"117714",364,"Iran (Islamic Republic of)",2,"Medium",2019,2019.5,41889.89,41024.003,82913.893,50.913
"118598",368,"Iraq",2,"Medium",2019,2019.5,19891.814,19417.975,39309.789,90.509
"119482",372,"Ireland",2,"Medium",2019,2019.5,2422.418,2460.08,4882.498,70.874
"120366",833,"Isle of Man",2,"Medium",2019,2019.5,NA,NA,84.589,148.402
"121250",376,"Israel",2,"Medium",2019,2019.5,4237.327,4282.046,8519.373,393.686
"122134",380,"Italy",2,"Medium",2019,2019.5,29461.035,31089.057,60550.092,205.855
"123018",388,"Jamaica",2,"Medium",2019,2019.5,1463.72,1484.557,2948.277,272.232
"123902",392,"Japan",2,"Medium",2019,2019.5,61950.31,64909.989,126860.299,347.987
"124786",400,"Jordan",2,"Medium",2019,2019.5,5113.215,4988.482,10101.697,113.783
"125670",398,"Kazakhstan",2,"Medium",2019,2019.5,8999.754,9551.674,18551.428,6.872
"126554",404,"Kenya",2,"Medium",2019,2019.5,26122.382,26451.585,52573.967,92.374
"127438",296,"Kiribati",2,"Medium",2019,2019.5,57.822,59.786,117.608,145.195
"128322",414,"Kuwait",2,"Medium",2019,2019.5,2563.055,1644.022,4207.077,236.087
